,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,966,0,1,0,1,0,8,1,0,3
True_1,0,1126,2,0,0,0,6,0,1,0
True_2,2,0,1017,6,0,0,0,4,3,0
True_3,0,0,3,1000,0,2,0,3,1,1
True_4,0,0,1,0,959,0,4,2,1,15
True_5,2,0,0,16,0,859,3,1,7,4
True_6,1,1,0,0,3,1,951,0,1,0
True_7,0,2,10,5,1,0,0,998,6,6
True_8,0,1,2,4,0,5,6,1,954,1
True_9,0,3,0,5,7,3,0,3,9,979
