epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.1136449855377897,82.55833333333334,0.34456118266414854,95.52000000000001
2,0.270179394746727,96.20833333333333,0.17145818711286412,97.31
3,0.17842450525037323,97.32,0.17745526357833297,97.77
4,0.1374337484388845,97.70333333333333,0.10845758893834427,98.1
5,0.11204604985951445,98.06333333333333,0.08413531242189928,98.29
6,0.09537562958397902,98.23666666666668,0.07853524184781127,98.46000000000001
7,0.08292280825194903,98.39,0.07297781635280698,98.34
8,0.07428459843463109,98.51666666666667,0.06764859052924439,98.54
9,0.06657930559994032,98.57333333333334,0.06297992525910959,98.50999999999999
10,0.05907511551255205,98.69166666666666,0.05977444381937384,98.61
